Taxa,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10
CDBN_016_98_209G,76.74841992040363,-127.95328905246778,-7.26681814949116,-45.09619846644746,-10.007792887035787,17.93324186442911,9.352457264478335,25.895924468768584,-105.35418154556311,-30.903967653200958
CDBN_017_CO_64342,79.22082771915287,-147.95673060645316,-12.142003163125647,17.261587775995075,-51.11227932489807,-4.415962370862651,-17.649778101955413,-9.431635311358013,-26.021817012775365,-50.07721985966087
CDBN_023_CU_M90,-159.30202244904578,-6.41943968272826,17.402767124971326,4.438707324090034,73.58266935198908,-143.98633851902173,-49.002484128015915,5.043274938934616,19.232935614915892,26.51211733800435
CDBN_024_Elizabeth,162.1181113357427,-138.16421066931915,34.29739156052485,-97.1883382277122,53.59994148625653,24.173039350336172,21.700329469355776,-52.547302804406655,-17.50620231952548,18.109760178910925
CDBN_025_Flamingo,96.92514211775612,-59.74183117846609,27.946992617159925,46.16768939936662,-34.48977800520329,-87.2695089956755,-3.0039596297072557,84.83186466910153,-7.2222582223689935,62.66247518539452
CDBN_026_Frigate,-143.28737780791963,-10.208330380764696,40.33770172524168,-26.034326363518762,-43.91256390901566,-30.30676336010435,15.81842089968234,1.4268483188420382,-70.06598387648975,16.39365888163046
CDBN_028_H9673_87,-113.32911875393974,93.70473691109694,104.84900205792891,127.70533870298944,56.90432336674967,81.91918627448787,-37.65634592046315,0.9268495153603008,7.450411294437028,-1.1078543940091856
CDBN_030_IS_4905_B,-108.97060854083267,-107.41925746052212,42.151206672618834,-17.52533897149394,-54.11786359110423,7.1229291330100075,63.23319007838215,-8.82143236334553,15.759518972759826,-30.060684838388816
CDBN_032_IS_4914_B,-8.71114625807001,-127.89278383880138,21.33976703049576,-11.650420846705819,14.48055691360424,-149.57417887518457,11.66159845699805,5.367237426754745,19.19764477704709,-72.99461607499168
CDBN_033_IS_4923_B,-169.2887934727725,-123.4626303590021,45.42003459545649,37.841332999274506,-13.4392543298116,88.22428259116813,147.82130249414436,-90.87756823994894,80.35664224136677,-60.76997989407385
