Site,Location_code,MATCH,Latitude,Longitude,Year,Date,Heritability
COFC,COFC,1,40.65167,-104.999168,1986,1986-01-01,0.7387722
COFR,COFR,1,39.17892,-108.700073,1986,1986-01-01,0.806271
IDKI,IDKI,1,42.55103,-114.340004,1986,1986-01-01,0.8471416
IDNA,IDNA,1,43.664948,-116.520451,1986,1986-01-01,NA
IDP2,IDP2,1,43.80256,-116.944202,1986,1986-01-01,NA
IDPA,IDPA,1,43.66495,-116.520451,1986,1986-01-01,0.9274372
IDTF,IDTF,1,42.6065,-114.504587,1986,1986-01-01,0.838441
KSCO,KSCO,1,39.387209,-101.068435,1986,1986-01-01,NA
KSMA,KSMA,1,39.21192,-96.589243,1986,1986-01-01,0.6384526
KSTR,KSTR,1,38.47032,-101.77941,1986,1986-01-01,0.6056317
MBBR,MBBR,1,49.86689,-99.973147,1986,1986-01-01,NA
MBMO,MBMO,1,49.18491,-98.078299,1986,1986-01-01,NA
MIEN,MIEN,1,43.3541,-85.1791,1986,1986-01-01,NA
MIS2,MIS2,1,43.39521,-83.68696,1986,1986-01-01,NA
MISA,MISA,1,43.39521,-83.686963,1986,1986-01-01,8.41E-07
MNBE,MNBE,1,45.38951,-93.885754,1986,1986-01-01,0
MNCR,MNCR,1,47.80604,-96.60909,1986,1986-01-01,0
MNLA,MNLA,1,44.23915,-95.308206,1986,1986-01-01,0.4206789
MNMO,MNMO,1,45.60179,-95.901515,1986,1986-01-01,0.8200789
MNPE,MNPE,1,46.89022,-95.075698,1986,1986-01-01,0.8200789
MNPR,MNPR,1,46.66384,-95.533428,1986,1986-01-01,NA
MOCL,MOCL,1,36.487915,-89.96273,1986,1986-01-01,NA
MOCO,MOCO,1,38.943,-92.319914,1986,1986-01-01,NA
MOPO,MOPO,1,36.395653,-89.609206,1986,1986-01-01,NA
MTHU,MTHU,1,45.92061,-108.241794,1986,1986-01-01,NA
MTSI,MTSI,1,47.72635,-104.150097,1986,1986-01-01,NA
NDAR,NDAR,1,47.10414,-97.218143,1986,1986-01-01,0.7336935
NDCA,NDCA,1,47.50822,-99.120669,1986,1986-01-01,NA
NDER,NDER,1,47.11533,-97.387892,1986,1986-01-01,NA
NDFA,NDFA,1,46.8994,-96.811921,1986,1986-01-01,NA
NDHA,NDHA,1,47.6331,-97.460334,1986,1986-01-01,0.5783886
NDPR,NDPR,1,46.99889,-97.113918,1986,1986-01-01,NA
NEMI,NEMI,1,41.94062,-103.821274,1986,1986-01-01,NA
NENP,NENP,1,41.08757,-100.778668,1986,1986-01-01,NA
NES2,NES2,1,41.89178,-103.678862,1986,1986-01-01,NA
NESB,NESB,1,41.94255,-103.814399,1986,1986-01-01,0
NMFA,NMFA,1,36.68915,-108.307665,1986,1986-01-01,0.3510603
NYFR,NYFR,1,42.52198,-76.330525,1986,1986-01-01,0.3666317
ONEL,ONEL,1,43.6419,-80.401772,1986,1986-01-01,NA
ONEX,ONEX,1,43.31734,-81.506848,1986,1986-01-01,NA
ONGU,ONGU,1,43.54903,-80.213818,1986,1986-01-01,0.5719521
ONHA,ONHA,1,42.02955,-82.900968,1986,1986-01-01,NA
PRIS,PRIS,1,18.46457,-67.052045,1986,1986-01-01,0.4268253
SKOU,SKOU,1,51.47894,-107.050903,1986,1986-01-01,NA
SKSA,SKSA,1,52.13359,-106.609455,1986,1986-01-01,0
TXCS,TXCS,1,30.540641,-96.427962,1986,1986-01-01,NA
TXLU,TXLU,1,33.6915,-101.826086,1986,1986-01-01,NA
TXMU,TXMU,1,33.45195,-99.614823,1986,1986-01-01,NA
TXVE,TXVE,1,34.080061,-99.368349,1986,1986-01-01,NA
WAOT,WAOT,1,46.79111,-119.033087,1986,1986-01-01,NA
WARO,WARO,1,46.29334,-119.734117,1986,1986-01-01,0.879713
WAVA,WAVA,1,45.67664,-122.649114,1986,1986-01-01,0.8573978
WYLI,WYLI,1,42.13224,-104.394135,1986,1986-01-01,NA
