"PC1","PC2","Race"
-69.3664326863544,-123.738821455891,"Durango"
167.971535272309,21.6404236472996,"Durango"
111.123116009607,27.3490339996289,"Durango"
-57.4786775946197,-101.756261766392,"Durango"
-78.9340658281982,-118.319721950777,"Durango"
-123.016028145592,103.697053434154,"Durango"
-49.1166329460741,-85.4202971125525,"Durango"
-47.1413990318306,-151.624062493825,"Durango"
101.41347028129,-4.56364880502184,"Durango"
83.7165001861936,-101.713060955107,"Durango"
165.322754224193,-0.85034836686477,"Durango"
65.6350562088532,-102.005910841188,"Durango"
-70.8099756423172,-113.745831415063,"Durango"
247.074891765833,-65.6045095222867,"Durango"
-71.1575571295684,-116.075379878345,"Durango"
-51.1630918890518,-50.4217998026705,"Durango"
158.547028995951,-44.9008841013252,"Durango"
