"Year","Y0","Heritability","Race"
1984,1,0,"Nueva Granada"
1984,1,0,"Nueva Granada"
1984,1,NA,"Nueva Granada"
1984,1,NA,"Nueva Granada"
1984,1,NA,"Nueva Granada"
1984,1,NA,"Nueva Granada"
1984,1,NA,"Nueva Granada"
1984,1,NA,"Nueva Granada"
1984,1,NA,"Nueva Granada"
1984,1,NA,"Nueva Granada"
1984,1,NA,"Nueva Granada"
1984,1,NA,"Nueva Granada"
1984,1,0,"Nueva Granada"
1984,1,0.3430228,"Nueva Granada"
1984,1,0,"Nueva Granada"
1984,1,1.12e-07,"Nueva Granada"
1984,1,0,"Nueva Granada"
1984,1,NA,"Nueva Granada"
1984,1,NA,"Nueva Granada"
1984,1,0,"Nueva Granada"
1984,1,0.7549918,"Nueva Granada"
1984,1,NA,"Nueva Granada"
1984,1,NA,"Nueva Granada"
1984,1,0.5398197,"Nueva Granada"
1984,1,NA,"Nueva Granada"
1984,1,NA,"Nueva Granada"
1984,1,NA,"Nueva Granada"
1984,1,NA,"Nueva Granada"
1984,1,0.4550823,"Nueva Granada"
1984,1,0.04529716,"Nueva Granada"
1984,1,1.63e-10,"Nueva Granada"
1984,1,0,"Nueva Granada"
1984,1,0,"Nueva Granada"
1984,1,NA,"Nueva Granada"
1984,1,NA,"Nueva Granada"
1984,1,NA,"Nueva Granada"
1984,1,NA,"Nueva Granada"
1984,1,NA,"Nueva Granada"
1984,1,NA,"Nueva Granada"
1984,1,0,"Nueva Granada"
1984,1,NA,"Nueva Granada"
1984,1,NA,"Nueva Granada"
1984,1,NA,"Nueva Granada"
1984,1,0.7261877,"Nueva Granada"
1984,1,NA,"Nueva Granada"
1984,1,NA,"Nueva Granada"
1984,1,NA,"Nueva Granada"
1984,1,NA,"Nueva Granada"
1984,1,NA,"Nueva Granada"
1984,1,7.12e-10,"Nueva Granada"
1984,1,0.3804463,"Nueva Granada"
1984,1,NA,"Nueva Granada"
1984,1,NA,"Nueva Granada"
1984,1,NA,"Nueva Granada"
1984,1,NA,"Nueva Granada"
1984,1,NA,"Nueva Granada"
1984,1,NA,"Nueva Granada"
1984,1,NA,"Nueva Granada"
1984,1,NA,"Nueva Granada"
1984,1,NA,"Nueva Granada"
1984,1,NA,"Nueva Granada"
1984,1,NA,"Nueva Granada"
1984,1,NA,"Nueva Granada"
1984,1,0.520839,"Nueva Granada"
1984,1,0,"Nueva Granada"
1984,1,NA,"Nueva Granada"
1984,1,NA,"Nueva Granada"
1984,1,0,"Nueva Granada"
1984,1,NA,"Nueva Granada"
1984,1,NA,"Nueva Granada"
1985,2,0.7133178,"Durango"
1985,2,0.6295467,"Durango"
1985,2,NA,"Durango"
1985,2,NA,"Durango"
1985,2,NA,"Durango"
1985,2,NA,"Durango"
1985,2,NA,"Durango"
1985,2,NA,"Durango"
1985,2,0.6218353,"Durango"
1985,2,0.1673435,"Durango"
1985,2,NA,"Durango"
1985,2,NA,"Durango"
1985,2,0,"Durango"
1985,2,0.2140152,"Durango"
1985,2,0.1352507,"Durango"
1985,2,0.5952642,"Durango"
1985,2,0.5043792,"Durango"
1985,2,0.7161388,"Durango"
1985,2,NA,"Durango"
1985,2,NA,"Durango"
1985,2,0.9240764,"Durango"
1985,2,0,"Durango"
1985,2,NA,"Durango"
1985,2,0.1312124,"Durango"
1985,2,0.3627759,"Durango"
1985,2,NA,"Durango"
1985,2,NA,"Durango"
1985,2,NA,"Durango"
1985,2,NA,"Durango"
1985,2,0.3855914,"Durango"
1985,2,NA,"Durango"
1985,2,0,"Durango"
1985,2,0,"Durango"
1985,2,0.7756579,"Durango"
1985,2,NA,"Durango"
1985,2,NA,"Durango"
1985,2,NA,"Durango"
1985,2,NA,"Durango"
1985,2,NA,"Durango"
1985,2,NA,"Durango"
1985,2,0.7612002,"Durango"
1985,2,NA,"Durango"
1985,2,NA,"Durango"
1985,2,NA,"Durango"
1985,2,0,"Durango"
1985,2,NA,"Durango"
1985,2,NA,"Durango"
1985,2,NA,"Durango"
1985,2,NA,"Durango"
1985,2,NA,"Durango"
1985,2,0,"Durango"
1985,2,0.0690784,"Durango"
1985,2,NA,"Durango"
1985,2,NA,"Durango"
1985,2,0,"Durango"
1985,2,NA,"Durango"
1985,2,NA,"Durango"
1985,2,NA,"Durango"
1985,2,NA,"Durango"
1985,2,NA,"Durango"
1985,2,NA,"Durango"
1985,2,NA,"Durango"
1985,2,NA,"Durango"
1985,2,NA,"Durango"
1985,2,0,"Durango"
1985,2,0.7245466,"Durango"
1985,2,NA,"Durango"
1985,2,NA,"Durango"
1985,2,0.3441112,"Durango"
1985,2,NA,"Durango"
1985,2,NA,"Durango"
